location,vaccine,Daily total_vaccinations,Total Vaccinations,new_date,Month,Year,Day Name,Month Name
Iceland,Pfizer/BioNTech,37709,0,2021-03-17,3,2021,Wednesday,March
Iceland,Johnson&Johnson,0,0,2021-03-18,3,2021,Thursday,March
Iceland,Moderna,4624,0,2021-03-18,3,2021,Thursday,March
Iceland,Oxford/AstraZeneca,9302,0,2021-03-18,3,2021,Thursday,March
Iceland,Pfizer/BioNTech,38749,0,2021-03-18,3,2021,Thursday,March
Iceland,Johnson&Johnson,0,0,2021-03-19,3,2021,Friday,March
Iceland,Moderna,4849,0,2021-03-19,3,2021,Friday,March
Iceland,Oxford/AstraZeneca,9302,0,2021-03-19,3,2021,Friday,March
Iceland,Pfizer/BioNTech,38935,0,2021-03-19,3,2021,Friday,March
Iceland,Johnson&Johnson,0,0,2021-03-20,3,2021,Saturday,March
Iceland,Moderna,4849,0,2021-03-20,3,2021,Saturday,March
Iceland,Oxford/AstraZeneca,9303,0,2021-03-20,3,2021,Saturday,March
Iceland,Pfizer/BioNTech,38935,0,2021-03-20,3,2021,Saturday,March
Iceland,Johnson&Johnson,0,0,2021-03-21,3,2021,Sunday,March
Iceland,Moderna,4849,0,2021-03-21,3,2021,Sunday,March
Iceland,Oxford/AstraZeneca,9303,0,2021-03-21,3,2021,Sunday,March
Iceland,Pfizer/BioNTech,38936,0,2021-03-21,3,2021,Sunday,March
Iceland,Johnson&Johnson,0,0,2021-03-22,3,2021,Monday,March
Iceland,Moderna,5076,0,2021-03-22,3,2021,Monday,March
Iceland,Oxford/AstraZeneca,9303,0,2021-03-22,3,2021,Monday,March
Iceland,Pfizer/BioNTech,40559,0,2021-03-22,3,2021,Monday,March
Iceland,Johnson&Johnson,0,0,2021-03-23,3,2021,Tuesday,March
Iceland,Moderna,5289,0,2021-03-23,3,2021,Tuesday,March
Iceland,Oxford/AstraZeneca,9312,0,2021-03-23,3,2021,Tuesday,March
Iceland,Pfizer/BioNTech,43504,0,2021-03-23,3,2021,Tuesday,March
Iceland,Johnson&Johnson,0,0,2021-03-24,3,2021,Wednesday,March
Iceland,Moderna,6716,0,2021-03-24,3,2021,Wednesday,March
Iceland,Oxford/AstraZeneca,9312,0,2021-03-24,3,2021,Wednesday,March
Iceland,Pfizer/BioNTech,43946,0,2021-03-24,3,2021,Wednesday,March
Iceland,Johnson&Johnson,0,0,2021-03-25,3,2021,Thursday,March
Iceland,Moderna,6716,0,2021-03-25,3,2021,Thursday,March
Iceland,Oxford/AstraZeneca,9345,0,2021-03-25,3,2021,Thursday,March
Iceland,Pfizer/BioNTech,44388,0,2021-03-25,3,2021,Thursday,March
Iceland,Johnson&Johnson,0,0,2021-03-26,3,2021,Friday,March
Iceland,Moderna,6717,0,2021-03-26,3,2021,Friday,March
Iceland,Oxford/AstraZeneca,13988,0,2021-03-26,3,2021,Friday,March
Iceland,Pfizer/BioNTech,44819,0,2021-03-26,3,2021,Friday,March
Iceland,Johnson&Johnson,0,0,2021-03-27,3,2021,Saturday,March
Iceland,Moderna,6717,0,2021-03-27,3,2021,Saturday,March
Iceland,Oxford/AstraZeneca,13988,0,2021-03-27,3,2021,Saturday,March
